YEAR      AMO    ENSO    VOLC     SOLAR    GA
1891  -0.8678  -1.7844  -1.0888  -4.7364  -4.6425
1892  -0.4639  -0.6044  -1.1420  -4.6109  -4.6188
1893  -0.8832  -2.3552  -0.6865  -4.2233  -4.5939
1894  -0.2426  -1.9526  -0.1772  -3.5605  -4.5682
1895  -1.2031  -1.5634   0.2850  -2.7744  -4.5428
1896  -0.6530   0.0788   0.5205  -2.3349  -4.5183
1897  -0.4789   1.0061   0.1897  -2.3034  -4.4949
1898  -0.4001  -0.5958  -0.1823  -2.5387  -4.4725
1899  -0.5637  -0.8639  -0.1249  -2.8398  -4.4516
1900  -0.0415   0.6794   0.2368  -3.1502  -4.4318
1901  -0.4279  -0.0711   0.4863  -3.5214  -4.4127
1902  -0.4281  -0.6553   0.5970  -3.9543  -4.3937
1903  -1.4308   0.8619   0.3113  -4.3165  -4.3745
1904  -1.6502  -1.2319  -1.9353  -4.3930  -4.3542
1905  -1.7654   0.0567  -1.7698  -4.1498  -4.3320
1906  -1.3151   0.6457  -0.5938  -3.9869  -4.3085
1907  -0.8970  -0.9994   0.0591  -3.6396  -4.2841
1908  -1.2740  -0.7678   0.2057  -3.4753  -4.2586
1909  -1.0601  -1.4952   0.1363  -3.2885  -4.2326
1910  -0.5160  -2.3225   0.3289  -3.2945  -4.2062
1911  -0.9104  -1.7489   0.4687  -3.4307  -4.1794
1912  -1.2511  -0.0461   0.5532  -3.7728  -4.1521
1913  -1.6046  -0.6083   0.2575  -4.1608  -4.1239
1914  -1.8995  -0.1422  -0.5482  -4.4305  -4.0947
1915  -2.2700  -0.0942  -0.1615  -4.4487  -4.0644
1916  -0.3448  -0.7361   0.2703  -3.9643  -4.0325
1917  -0.1730  -2.5176   0.4738  -3.0649  -3.9989
1918  -1.3434  -1.2982   0.5350  -2.0639  -3.9642
1919  -1.5190   0.7966   0.5712  -1.1172  -3.9290
1920  -1.4986  -0.5938   0.5810  -0.7795  -3.8934
1921  -0.8557  -0.8408   0.4354  -0.9094  -3.8585
1922  -0.9342  -1.1281   0.2188  -1.3258  -3.8254
1923  -0.9440  -1.2309   0.4100  -1.9053  -3.7939
1924  -1.0021   0.1365   0.5592  -2.4929  -3.7640
1925   0.6425  -1.6259   0.5515  -2.9602  -3.7356
1926  -0.7029   0.5871   0.5248  -3.1359  -3.7084
1927   0.4964  -0.4603   0.5539  -2.8795  -3.6818
1928   0.7331  -0.4660   0.5743  -2.3836  -3.6549
1929   0.5979  -0.7774   0.5227  -2.1736  -3.6279
1930  -0.0477  -0.3805   0.2823  -2.0362  -3.6010
1931   0.0438   1.2204   0.2822  -1.8857  -3.5738
1932   0.6154  -0.4737   0.3860  -2.1017  -3.5455
1933   0.1652  -0.4805   0.3492  -2.5516  -3.5163
1934   0.2058  -1.5817   0.2780  -3.0353  -3.4864
1935   0.1078  -0.4785   0.4233  -3.3708  -3.4558
1936   0.1644  -0.2152   0.4487  -3.2941  -3.4241
1937   0.6820   0.0404   0.4965  -2.5781  -3.3918
1938   0.9412  -0.2537   0.5231  -1.7773  -3.3588
1939   0.9181  -1.1252   0.4825  -1.1526  -3.3256
1940  -0.2652  -0.2739   0.4481  -0.6307  -3.2925
1941  -0.3322   0.4536   0.4924  -0.4169  -3.2600
1942  -0.1653   1.2329   0.5451  -0.4495  -3.2288
1943   0.3989  -1.5913   0.5249  -0.7877  -3.1997
1944  -0.4063  -0.7774   0.4477  -1.3720  -3.1729
1945   0.7178  -0.6323   0.5171  -1.8457  -3.1483
1946   0.4508  -0.6371   0.5549  -1.9795  -3.1260
1947   0.1246  -0.6256   0.5917  -1.8258  -3.1057
1948  -0.0900  -1.0762   0.5860  -1.0524  -3.0867
1949   0.0798  -0.9061   0.5733  -0.0132  -3.0683
1950  -0.1493  -1.6585   0.5643   0.6659  -3.0500
1951   0.2141  -2.0516   0.5249   0.8819  -3.0333
1952   0.8366   0.4247   0.5691   0.5035  -3.0179
1953   0.8153  -0.6304   0.5217   0.1122  -3.0028
1954   0.5927  -0.3056   0.5225  -0.3966  -2.9877
1955   0.4211  -1.6326   0.4840  -0.9566  -2.9720
1956   1.1592  -2.5647   0.5540  -1.2083  -2.9550
1957   0.0302  -1.7172   0.5992  -0.8548  -2.9363
1958   0.2215   0.6073   0.6434   0.1429  -2.9162
1959   0.8181  -0.0442   0.6739   1.4102  -2.8947
1960   0.2451  -0.2345   0.6808   2.2073  -2.8722
1961   1.0227  -0.8475   0.5949   2.6205  -2.8494
1962   0.4008  -1.0522   0.3594   2.4727  -2.8271
1963   0.7692  -0.9436   0.2284   1.8228  -2.8054
1964   0.7365   0.2633  -0.4477   1.0856  -2.7848
1965   0.3972  -1.5307  -2.3684   0.3131  -2.7632
1966  -0.6062   0.8898  -2.1284  -0.3908  -2.7392
1967   0.6639  -0.4824  -1.0204  -0.8119  -2.7121
1968   0.4455  -1.0954  -0.2136  -0.7266  -2.6817
1969  -0.0266   0.0836  -0.2265  -0.3854  -2.6480
1970  -0.1459   0.5275  -0.9192  -0.1061  -2.6101
1971  -0.2330  -1.5375  -0.4740   0.1899  -2.5654
1972  -0.6284  -1.7806   0.1740   0.3518  -2.5115
1973  -1.9527   1.2444   0.5188   0.3337  -2.4486
1974  -1.0222  -1.9881   0.5160   0.0087  -2.3775
1975  -1.3803  -1.3760   0.3242  -0.4996  -2.2997
1976  -1.2609  -2.3043  -0.3196  -1.0788  -2.2156
1977  -1.9943   0.5400  -0.2179  -1.5078  -2.1248
1978  -1.3266   0.3680   0.3061  -1.3014  -2.0263
1979  -1.2514  -0.1614   0.5049  -0.3100  -1.9193
1980  -1.1172   0.3623   0.3463   0.5062  -1.8052
1981  -0.8747  -0.0327   0.5060   0.9535  -1.6887
1982  -0.4169  -0.3575   0.5697   1.3841  -1.5726
1983  -1.8450   1.7383  -0.3822   1.4215  -1.4569
1984  -1.5270  -0.1278  -2.7524   1.3441  -1.3396
1985  -0.7883  -0.8985  -1.7386   0.9398  -1.2211
1986  -1.1670  -0.7034  -0.4156   0.3723  -1.1027
1987  -0.7382   0.8091   0.0200  -0.1707  -0.9834
1988  -0.7016   1.5884   0.1990  -0.5656  -0.8614
1989   0.5787  -1.7825   0.3724  -0.5680  -0.7377
1990  -0.3706  -0.5814   0.4889  -0.1039  -0.6145
1991   0.0580  -0.1826   0.5357   0.4819  -0.4933
1992  -0.8454   0.6861  -0.0619   0.8593  -0.3766
1993  -1.6595   0.0894  -2.8907   1.0081  -0.2639
1994  -1.6794   0.5766  -2.0721   0.7793  -0.1535
1995  -0.3108   0.5977  -0.6200   0.3444  -0.0436
1996   0.4480  -0.4632   0.1247  -0.1291   0.0657
1997   0.3686  -0.4122   0.4453  -0.6070   0.1740
1998  -0.1471   2.5416   0.5709  -0.9373   0.2834
1999   0.7642  -0.8408   0.6131  -0.9039   0.3947
2000   0.8379  -1.5048   0.6259  -0.4578   0.5053
2001   0.6241  -0.8110   0.6284   0.0537   0.6150
2002   0.8174  -0.5420   0.6230   0.6014   0.7264
2003   0.6054   0.9407   0.6312   1.0502   0.8408
2004   1.4192   0.4689   0.6137   1.0298   0.9589
2005   0.8517   0.3719   0.6122   0.5874   1.0796
2006   1.4179  -0.9119   0.5833   0.0566   1.2024
2007   1.3240   0.7928   0.5608  -0.5110   1.3266
2008   1.2051  -1.6230   0.5022  -1.1493   1.4522
2009   1.4127  -0.5400   0.5166  -1.6911   1.5784
2010   0.8533   1.1137   0.5376  -2.1619   1.7058
2011   1.9450  -1.7691   0.5591  -2.3574   1.8297
2012   1.3126  -1.3703   0.5498  -2.2612   1.9367
2013   1.4804   0.1153   0.5503  -1.9271   2.0465
2014   1.6055  -0.2671   0.5879  -1.6159   2.1613
2015   1.4880   0.8053   0.5712  -1.4140   2.2811
2016   1.0673   2.3639   0.5352  -1.1792   2.4060
2017   1.7741  -0.0298   0.5804  -1.4693   2.5358
